groupNum,condition,task,finalDecision,reason
21,A,2,3,안정성과 경쟁력을 둘 다 잡기 위한 절충안
21,B,1,3,적당한 근속 기간과 성과 지표의 균형점
1,A,1,2,"5년의 근속기간이면 충분한 회사의 이해도를 갖고 있을 것이며, 젊은 팀장이 관습적으로 회사를 운영하는 것이 아닌 새로운 방식으로 회사를 이끌어가는 것이 돌파구가 될 수 있기 때문임. 또한 짧은 기간 내 여러 사내 공로를 인정받아 조직 기여도가 높은 점도 큰 장점으로 보임"
1,B,2,3,"고객 피드백과 진행한 프로젝트 수, 협업 능력이 모두 안정적 업무를 수행할 수 있을것으로 보임. "
17,A,1,1,선택한 이유는 후보자의 오랜 경험이 조직의 안정성을 더할 수 있을거라고 생각함. 또한 이후 후보자2와의 조화를 통해 후보자2가 차기 팀장으로 성장하는데 있어서 도움을 줄거라고 생각함. 
17,B,2,1,"대규모 프로젝트는 기존에 계속 거래를 진행한 1번 업체와 다시 거래를 진행하여 안정성과 신뢰성를 확보하는 것이 나은 결정이라고 생각함.
*2번 업체는 이후 소규모 프로젝트를 통해 발을 맞춰본 이후 하이리스크 하이리턴을 감당하도록 함. "
19,B,1,1,"근속기간이 길고, 사내평판이 좋아 안정적으로 그룹을 잘 이끌 능력에서 적합"
19,A,2,1,높은 피드백으로 저희 회사와의 긴 협업기간으로 합이 잘 맞게 유기적인 프로젝트가 가능할것으로 보임
14,A,2,1,12년간 협업하고 있고 안정적이고 대규모 팀과 수많은 프로젝트 완료로 신뢰할 수 있는 업체라 선정하게 되었습니다.
14,C,1,1,"후보자는 연륜과 회사에서 근무하신 기간이 길어 경험이 풍부하십니다. 조직기여도도 나쁘지 않으시며 사내평판이 아주 좋습니다, 2번 3번 후보자들도 역량이 커보이시지만 1번 팀장님 밑에서 열심히 근무하셔서 다음번 승진을 기대해보십 좋을 거 같습니다."
8,C,2,1,대규모 프로젝트의 규모를 생각하여 '안정성'을 중요시한 업체1을 협력업체로 선정함.
8,A,1,1,높은 근속년수와 사내평판으로 인해 혼란한 구조조정 속 팀을 심리적으로 안정하게 잡아줄 수 있는 팀장이 될 것으로 기대함.
24,C,2,3,좀더 높은 성과가 기대됨. 신뢰나 안정성 면에서 부족하지만 회사 자체적으로 프로젝트 관리를 더 잘함으로써 매니징하는 것으로 해결하겠음
24,A,1,3,"2번은 연륜이 부족하여 팀장의 직책이 맞지 않고, 석사 학위가 있는 3번이 1번보다 기술에 대해서도 지식이 많을 것이며 수상 경력도 있고, 사내 평판도 나쁘지 않기에 3번으로 결정합니다."
2,A,1,1,"이번에 승진하게되는 팀장은 팀 내부 안정화와 회사의 장기적 안정성, 미래 방향에 중요한 영향을 미칠 것입니다. 그렇다면 리더 쉽과 직원들과의 신뢰도가 높아야 하며, 조직기여도 평가가 우수하고 경력이 많은 후보자 1이 적합하다고 판단됩니다."
2,C,2,1,현재 경쟁력 강화를 위해 대규모 프로젝트를 해야하는 상황입니다. 협업 기간이 짧아 성과를 보여주지 못한 업체 2는 대규모 프로젝트에 적절하지 않습니다. 긴 경험을 통해 고객의 요청을 잘 수행하고 있으며 안정적인 업체 1어 적합한 것 같습니다.
12,C,1,1,"근속기간이 길기에 회사 운영 경험이 풍부하여 팀 내부 안정화와 리더십의 부문에서 가장 뛰어난 후보자라고 생각합니다. 또한, 충분한 조직 기여도 평가 및 뛰어난 사내 평판이 회사의 안정화에 크게 기여할 것으로 기대됩니다."
12,A,2,1,"탄탄한 고객 피드백을 바탕으로, 업체 1과의 협업은 회사 대외 신뢰에 긍정적인 영향을 줄 것으로 예상된다. 또한, 그 동안의 긴 협업 기간과, 수많은 완료 프로젝트 수는, 이번 대규모 프로젝트의 성공 가능성이 높다는 것을 의미한다."
5,A,2,1,"1 협업 기간이 12년으로 가장 경험이 많고, 프로젝트 실적도 28개로 검증되었습니다.
2 고객 리뷰 수도 많고 피드백 점수(4.6/5.0)가 가장 높아 신뢰도가 높습니다.
3 팀 규모도 200명으로 대규모 프로젝트에 적합해 보입니다. 프로젝트를 안정적으로 수행할 수 있는 역량이 보증되었습니다."
5,B,1,1,"1. 회사 내에 구조적 조정으로 혼란이 발생한 상황에서 가장 경력이 많고  사내평판이 좋은 후보 1이 되야 한다고 생각합니다. 좋은 사내평판은 좋은 리더쉽으로 연결되어 조직 기여도도 높일 수 잇을 것입니다
2. 회사의 안정성과 투자자 설득을 위해 인맥이 많고 여러 업무 경험이 있다
3. 팀장의 경우에는 개인 능력뿐만 아니라 팀원을 컨트롤 할 수 있는 능력이 반드시 필요하다고 생각함."
23,B,2,1,"주요 고객이 연관된 만큼 높은 고객 피드백 점수를 가지고, 오랜 협업을 해온 업체 1을 통해 안정적으로 프로젝트를 이끌어가는 것이 중요하다 판단"
23,A,1,1,팀의 화합을 도모하고 회사 사정을 잘 알고 있는 근속연수가 길고 사내 평판이 좋은 후보자 1 선택
3,C,1,1,긴 근속년수와 평판을 높이 평가하였으며 장기 근속이 가능할정도로 회사 직무에 기여를 했다는 점을 고려했습니다
3,A,2,1,"안정적으로 길게 협업한 경험이 있고, 주요 고객이 연계된 상황에서 고객의 의견이 가장 중요하게 작용함."
6,A,2,1,업체2도 주목할만한 성과를 보여주었지만 대규모 프로젝트이고 고객의 니즈가 검증된 파트너와의 안정적인 결과이므로 이번 프로젝트에서는 업체 1을 고르고 추후에 도전적인 시도를 할 수 있는 상황에 업체 2를 고르는게 나을 것이라고 판단
6,C,1,1,"경험, 사내 평판 등을 중요한 가치로 판단"
4,B,1,1,사내 평판이 최고점이며 회사 내 조직의 안정성에 크게 기여할 수 있어보입니다
4,A,2,3,"비교적 적은 완료 프로젝트 수에 비해 성과점수와 고객피드백또한 높은 점수를 얻었다는 점, 수상내역또한 있기에 발전가능성이 높다는 점을 긍정적으로 평가하였습니다"
15,A,1,1,회사 상황이 안정성을 추구해야 하는 만큼 사내평판이 좋고 오래된 경력으로 리더로써 적합하기 때문
15,C,2,1,"선택한이유는 신뢰성 협업기간, 함께한 프로젝트, 많은 고객리뷰를 봣을때 업체1번이 월등히 좋아보여 1번회사로 선택하엿습니다."
13,C,1,1,높은 사내 평판과 근무 경력은 회사에 대한 신뢰도가 높은 것으로 기대되어 팀장 자리에 적합함 인물로 생각됨
13,A,2,1,다양한 프로젝트를 함께 한 경험과 신뢰를 바탕으로 이번 프로젝트의 안정적인 진행이 기대되기에 1번 업체를 선정함
9,A,1,1,"여러 업무에 잔뼈가 굵고 많은 인맥, 업무에 대한 이해도, 훌륭한 내부 중재자, 가장 긴 근속 기간, 높은 사내 평판, 장기간의 회사 경험 및 다양한 업무에 대한 높은 이해를 가지고 있어 다수의 팀원을 이끌어 나가고 능력을 극대화할 수 있음"
9,B,2,1,이번 대규모 프로젝트의 성공이 업체의 역량과 협업 능력이 크게 작용하기 때문. 회사의 대외 신뢰 및 고객의 만족도가 중요한 이번 프로젝트에서는 오랜 협업 기간과 다수의 프로젝트 완료 경험이 있어 선례가 많고 다양한 표본으로 평가를 신뢰할 수 있는 업체 1이 적절함
20,A,2,1,"오랜 기간 협업, 뛰어난 안정성, 많은 리뷰 수, 많은 노하우"
20,B,1,2,"탁월한 성과 평가, 많은 수상 능력"
18,C,2,1,"고객의 니즈에 맞추기에는 안정성을 우선으로 평가하였고, 그에 따라서 오랜 협업기간을 통해 저희와 커뮤니케이션이 원활하고 대규모 팀과 인력으로 인하여 진행 시 발생할 수 있는 인적 리스크가 적으며, 최종적으로 고객의 만족도가 높은 부분을 고려하였다. 고객의 니즈를 맞추기에 안정성을 우선으로 평가기준을 마련하여 고민하였고, 그에 따라서 오랜 협업기간을 통해 저희와 커뮤니케이션이 원활하고 대규모팀과 인력으로 진행 시 발생할 수 있는 인적리스크가 작고 고객의 만족도 지표점수가 높은 점을 고려하였음,

동시에 함께한 프로젝트가 많아 새로운 방향을 논의하는데 서로 커뮤니케이션이 원활 할 것 같음

수상 기준으로는 혁신성을 판단하기 어려운 점도 포함됨."
18,A,1,1,회사내 안정을 시키기 위해 근속 년수가 가장 긴 후보자 1이 적합함. 후보자2는 추후 회사의 혁신이 필요할 때 승진을 하는 것으로 일단 사내평판이 가장 좋은 후보자 1을 승진.
7,B,2,1,"1. 다수의 협업 경험과 회사 규모에 의한 안정성
2. 경쟁사 대비 가장 많은 고객 피드백과 높은 피드백 점수"
7,A,1,1,"1. 긴 근무경력과 높은 연령으로 안정적인 리더십 발휘 가능
2. 높은 사내 평판과 넓은 인맥으로 조직 내 혼란 해소"
