id,content,sender,sentTime
1,!!!!!,p56,2024-12-15 09:21:16
2,안녕하세요,p53,2024-12-15 09:22:42
3,반갑습니다,p53,2024-12-15 09:32:27
4,지금 현재 3개의 프로젝트를 보고 있는데요,p53,2024-12-15 09:32:45
5,반가워요,p55,2024-12-15 09:32:46
6,하청업체를 우리가 선정해야하는 거 같아요~<br><br>,p53,2024-12-15 09:32:57
7,3개의 업체를 보고 한 업체를 선정해야하는데 같이 잘 이야기해봅시다,p53,2024-12-15 09:33:16
8,협업 이력이 있는 곳과 안정적으로 추진해야할지 ...협업한 적이 없는 곳과 새로 거래를 해야할지부터 생각해봤는데 저는 안정성있게 업체1과 업체3 중에 골라보고 싶어요. 아니면 업체2도 내실이 있는 곳이면 고려 대상이 될 수 있구요.,p55,2024-12-15 09:35:30
9,위 자료 를 보았을때 저도 2번은 협업 과,p54,2024-12-15 09:36:32
10,프로젝트 경험이 없어 제외하는게 맞다고 봅니다.,p54,2024-12-15 09:36:48
11,이 자료로만 보았을 때 아무래도 1번이 제일 낫지 않을까 싶네여,p53,2024-12-15 09:36:59
12,2번은 신생기업 같은데 가능성을 우리가 미리 판단하기가 애매한거 같아요 상과는 좋으니 고객님이 피드백이 약하네요,p53,2024-12-15 09:37:34
13,다시 로그인 했어요,p56,2024-12-15 09:37:48
14,성과점수나 피드백은 3개의 업체가 비슷. 큰규모로 안정되게 추진할 수 있는 1번이 좋을 것 같아요. 괜히 모험을 강행할 상황이 아니므로 더욱 1번,p55,2024-12-15 09:38:24
15,&nbsp;저도 1번이 맞다고 생각합니다,p53,2024-12-15 09:38:55
16,굳이 모험을 할 필요가 없다고 봅니다,p53,2024-12-15 09:39:01
17,1번이 수상 내역이 없네요,p54,2024-12-15 09:39:45
18,수십년 간 함께했지만 성과가 크지않고 그리고 회사가 발전적이지 않는데 이번에 바꿀필요가 있지않을까요?,p56,2024-12-15 09:39:59
19,자료만 놓고 보면 1번인데 실무 담당자와 미팅을 했을 때도 큰 변동이 없다면 좋겠네요.,p55,2024-12-15 09:40:02
20,&nbsp;그 밑에 보면 주의 물음표 이런게 있어요 ㅎㅎ,p53,2024-12-15 09:40:04
21,지금 현재 1번과 함께 하고 있는거였나요,p53,2024-12-15 09:40:33
22,이번에 새로 설정한 우리만의 팀 이름과 슬로건 그리고 우리회사가 결론적으로 추구하는 가치를 보게되면 다르게 한번 생각해야되지않을까 싶어요,p56,2024-12-15 09:41:08
23,자료상으로 보았을 땐 1번으로 가는게 맞을 거 같습니다,p53,2024-12-15 09:41:11
